,City,Lat,Lng,Max temp,Humidity,Cloudiness,Wind Speed,Country,Date
87,bambous virieux,-20.34,57.76,78.01,88,40,1.12,MU,1607222871
88,aklavik,68.22,-135.01,-2.2,77,2,4.7,CA,1607222872
89,vila franca do campo,37.72,-25.43,53.6,87,40,5.82,PT,1607222872
90,necochea,-38.55,-58.74,50.0,83,0,14.47,AR,1607222872
91,kropotkin,45.44,40.58,27.72,89,27,21.32,RU,1607222872
92,lagoa,39.05,-27.98,59.49,70,83,11.41,PT,1607222872
93,itupiranga,-5.13,-49.33,74.44,92,15,3.2,BR,1607222872
94,vanimo,-2.67,141.3,84.04,76,98,3.18,PG,1607222872
95,lira,2.23,32.91,63.77,90,0,0.67,UG,1607222872
96,saint-philippe,-21.36,55.77,77.0,57,0,4.7,RE,1607222873
97,kaohsiung,22.62,120.31,78.8,57,75,2.24,TW,1607222662
98,ponta do sol,32.67,-17.1,59.0,67,20,9.17,PT,1607222873
99,marystown,47.17,-55.15,44.8,91,100,8.46,CA,1607222767
100,panjakent,39.5,67.61,30.2,58,0,4.7,TJ,1607222873
101,san cristobal,7.77,-72.22,78.8,78,40,2.24,VE,1607222873
102,nizwa,22.93,57.53,63.03,56,0,0.96,OM,1607222622
103,biltine,14.53,20.92,72.57,20,2,12.62,TD,1607222873
104,anadyr,64.75,177.48,26.6,73,75,8.95,RU,1607222874
105,tayoltita,24.08,-105.93,53.83,42,0,6.31,MX,1607222874
106,mount gambier,-37.83,140.77,60.8,67,40,21.92,AU,1607222874
107,jacareacanga,-6.22,-57.75,73.8,96,70,0.58,BR,1607222874
108,caldwell,43.66,-116.69,30.0,74,1,3.36,US,1607222854
109,comodoro rivadavia,-45.87,-67.5,65.66,34,37,5.39,AR,1607222701
110,port augusta,-32.5,137.77,71.6,33,75,19.46,AU,1607222874
111,rio grande,-32.03,-52.1,61.0,72,96,7.2,BR,1607222875
112,zlynka,52.43,31.74,23.0,79,0,15.66,RU,1607222878
113,tralee,52.27,-9.7,43.86,80,99,7.85,IE,1607222878
114,rocha,-34.48,-54.33,45.43,85,0,1.57,UY,1607222878
115,airai,-8.93,125.41,72.57,88,100,2.42,TL,1607222878
116,asyut,27.18,31.18,50.02,64,3,2.64,EG,1607222840
117,winnemucca,40.97,-117.74,30.2,46,1,4.7,US,1607222878
118,vestmannaeyjar,63.44,-20.27,33.04,85,100,13.44,IS,1607222878
119,yatou,37.15,122.38,44.51,54,0,7.78,CN,1607222879
120,wenatchee,47.42,-120.31,33.01,100,90,2.1,US,1607222783
121,murdochville,48.96,-65.5,32.0,98,100,3.36,CA,1607222739
122,sitka,57.05,-135.33,50.0,71,90,11.41,US,1607222879
123,leh,34.17,77.58,13.37,77,93,1.9,IN,1607222879
124,inverness,57.48,-4.22,42.01,93,100,4.12,GB,1607222879
125,khairagarh,26.95,77.82,67.91,40,0,3.89,IN,1607222879
126,lisakovsk,52.54,62.49,-2.07,91,0,1.45,KZ,1607222879
127,hasaki,35.73,140.83,55.0,66,75,9.17,JP,1607222671
128,cherskiy,68.75,161.3,-11.69,81,46,0.76,RU,1607222880
129,rehli,23.63,79.08,68.61,38,0,2.44,IN,1607222880
130,redmond,47.67,-122.12,48.0,59,1,4.29,US,1607222809
